location_id,isbn,quantity,price
1,9780500370513,9,34.2
1,9781294328049,42,38.73
1,9781181254352,22,33.71
1,9781414403113,29,25.82
1,9780604679260,9,22.38
1,9780343103491,38,13.03
1,9780232016475,50,11.09
1,9780742765627,3,24.61
1,9780235676805,17,36.2
1,9781469563978,5,10.66
1,9780863565724,22,8.06
1,9781969240324,44,26.4
1,9781124485164,12,16.88
1,9781133985297,34,31.41
1,9781834632285,5,30.09
1,9780873375955,26,5.61
1,9780506521728,4,29.49
1,9781590162101,44,11.46
1,9780675186155,40,29.09
1,9780053452032,44,24.61
2,9780100598553,34,23.11
2,9780219900148,32,36.21
2,9781124485164,11,15.7
2,9780235676805,39,33.68
2,9780027906301,48,11.85
2,9781412191609,22,6.66
2,9781875620074,37,8.11
2,9780759236882,20,6.16
2,9780343103491,27,15.09
2,9780500370513,17,25.11
2,9781888146080,4,37.33
2,9781834632285,45,17.98
2,9780474307232,20,15.55
2,9781969240324,45,19.74
2,9780873375955,5,29.18
2,9780053452032,38,25.57
2,9780456767610,43,26.41
2,9781181254352,9,14.59
2,9780227594223,25,20.04
2,9780951684665,26,16.4
3,9781154049480,19,10.37
3,9780500370513,23,19.55
3,9781969240324,50,11.86
3,9780343103491,9,22.04
3,9780235676805,49,39.79
3,9780863565724,18,9.78
3,9781834632285,23,34.94
3,9780770346645,39,36.46
3,9781708941284,4,35.96
3,9780053452032,47,7.77
3,9780873375955,36,21.4
3,9781590162101,15,25.35
3,9780951684665,5,18.9
3,9780100598553,37,23.95
3,9780456767610,19,25.89
3,9781294328049,48,39.83
3,9780878419630,11,7.97
3,9780227594223,6,19.42
3,9781888146080,34,38.88
3,9781133985297,16,16.78
4,9781412191609,1,32.76
4,9780878419630,25,6.34
4,9780474307232,30,35.3
4,9780742765627,1,25.5
4,9781875620074,31,34.33
4,9780235676805,38,20.02
4,9780053452032,8,14.95
4,9780604679260,31,7.69
4,9781133985297,45,17.18
4,9781469563978,8,13.9
4,9780863565724,3,9.14
4,9781969240324,27,33.74
4,9780227594223,32,19.08
4,9780343103491,22,38.01
4,9781124485164,26,6.29
4,9781154049480,20,6.71
4,9780675186155,20,35.98
4,9780873375955,17,24.51
4,9781708941284,11,39.14
4,9781181254352,45,28.18
5,9780877144601,9,19.12
5,9781469563978,10,39.23
5,9781294328049,34,5.52
5,9781834632285,41,16.18
5,9781590162101,26,25.23
5,9780742765627,15,16.97
5,9780770346645,21,16.52
5,9781969240324,43,14.4
5,9781065682707,16,28.79
5,9780506521728,50,10.17
5,9780951684665,10,29.53
5,9780759236882,39,28.29
5,9780227594223,9,10.48
5,9781405570244,20,6.99
5,9780100598553,2,25.33
5,9781875620074,48,39.24
5,9780232016475,26,6.62
5,9780863565724,7,13.34
5,9781124485164,19,30.54
5,9780343103491,30,18.76
